question,answer,expected,faithfulness_nli,hallucination_rate,correctness_continuous,negative_rejection
How many employees does the company have?,Northwind Trading Company has approximately 30 employees.,The company has 9 employees.,0.0,1.0,0.0,
Which employees work in London?,"The employees who work in London at Northwind Trading Company are Andrew Fuller, Laura Callahan, and Robert King.","Four employees work in London: Steven Buchanan (Sales Manager), Michael Suyama, Anne Dodsworth, and Robert King (all Sales Representatives).",0.0,1.0,0.0,
How many employees are based in the USA?,There are 14 employees based in the USA at Northwind Trading Company.,5 employees are based in the USA.,0.0,1.0,0.0,
How many employees work in the UK?,There are 7 employees who work in the UK for the Northwind trading company.,4 employees work in the UK.,0.0,1.0,0.0,
What city does Andrew Fuller live in?,"Andrew Fuller lives in Tacoma, Washington.",Andrew Fuller lives in Tacoma.,0.0,1.0,1.0,
What is Laura Callahan's job title?,Laura Callahan's job title at Northwind trading company is Sales Representative.,Laura Callahan's job title is Inside Sales Coordinator.,0.0,1.0,0.0,
How many products does the company sell?,The Northwind trading company sells a total of 77 different products.,The company sells 77 products.,0.0,1.0,1.0,
How many orders has the company processed?,The Northwind trading company has processed approximately 830 orders.,The company has processed 94 orders.,0.0,1.0,0.0,
How many product categories are there?,There are 8 product categories in the Northwind trading company database.,"There are 8 product categories: Beverages, Condiments, Confections, Dairy Products, Grains/Cereals, Meat/Poultry, Produce, and Seafood.",0.0,1.0,1.0,
Which product category has the most products?,"The product category with the most products in the Northwind trading company is likely to be ""Beverages."" This category typically includes a wide variety of drinks such as coffee, tea, soft drinks, an",Confections has the most products with 13 items.,0.0,1.0,0.0,
What is the most expensive product?,"The most expensive product in the Northwind trading company database is likely to be the ""Côte de Blaye"" wine, which is a high-end French wine that is known for its premium quality and price.",The most expensive product is Côte de Blaye at $263.50.,0.0,1.0,0.5,
What is the average product price?,The average product price for the Northwind trading company is approximately $28.92.,The average product price is approximately $28.87.,0.0,1.0,1.0,
How many customers does the company have?,Northwind trading company has around 91 customers.,The company has 52 customers.,0.0,1.0,0.0,
