question,answer,expected,faithfulness_nli,hallucination_rate,correctness_continuous,negative_rejection
How many employees does the company have?,The company has 9 employees.,The company has 9 employees.,0.0,1.0,1.0,
Which employees work in London?,"The employees who work in London are:
1. Steven Buchanan
2. Michael Suyama
3. Robert King
4. Anne Dodsworth","Four employees work in London: Steven Buchanan (Sales Manager), Michael Suyama, Anne Dodsworth, and Robert King (all Sales Representatives).",0.0,1.0,1.0,
How many employees are based in the USA?,There are 5 employees based in the USA.,5 employees are based in the USA.,0.0,1.0,1.0,
How many employees work in the UK?,There are 4 employees who work in the UK.,4 employees work in the UK.,0.0,1.0,1.0,
What city does Andrew Fuller live in?,I don't have information about the city where Andrew Fuller lives.,Andrew Fuller lives in Tacoma.,0.0,1.0,0.0,
What is Laura Callahan's job title?,I don't have information about Laura Callahan's job title.,Laura Callahan's job title is Inside Sales Coordinator.,0.0,1.0,0.0,
How many products does the company sell?,The company sells a total of 77 products.,The company sells 77 products.,0.0,1.0,1.0,
How many orders has the company processed?,The company has processed a total of 94 orders.,The company has processed 94 orders.,0.0,1.0,1.0,
How many product categories are there?,There are 8 product categories in the database.,"There are 8 product categories: Beverages, Condiments, Confections, Dairy Products, Grains/Cereals, Meat/Poultry, Produce, and Seafood.",0.0,1.0,1.0,
Which product category has the most products?,I don't have information about the column names in the Products table to determine the correct query.,Confections has the most products with 13 items.,0.0,1.0,0.0,
What is the most expensive product?,"I don't have access to the schema of the Products table to find the correct column name for the price. Unfortunately, I cannot provide the answer to the most expensive product without this information",The most expensive product is Côte de Blaye at $263.50.,0.0,1.0,0.0,
What is the average product price?,The average product price is approximately $28.87.,The average product price is approximately $28.87.,0.0,1.0,1.0,
How many customers does the company have?,The company has 52 customers.,The company has 52 customers.,0.0,1.0,1.0,
Which employee has processed the most orders?,"The employee with ID 4 has processed the most orders, with a total of 15 orders.",Margaret Peacock has processed the most orders with 15 orders.,0.0,1.0,0.5,
Which employees report directly to Andrew Fuller?,"ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo in organization org-WXeAYs7pNHT251vToIGpQE2u on tokens per min (TPM): Limit 200000, Used 190143, Requested 10137. P","The employees who report directly to Andrew Fuller are: Nancy Davolio, Janet Leverling, Margaret Peacock, Steven Buchanan, and Laura Callahan.",0.0,1.0,0.0,
Who does Steven Buchanan report to?,I don't have information about who Steven Buchanan reports to.,"Steven Buchanan reports to Andrew Fuller, the Vice President of Sales.",0.0,1.0,0.0,
Which employees report to Steven Buchanan?,I don't have information about which employees report to Steven Buchanan.,"Michael Suyama, Anne Dodsworth, and Robert King report to Steven Buchanan.",0.0,1.0,0.0,
